/*C2*/SET SCHEMA PUBLIC
CREATE TABLE IF NOT EXISTS EVENTS (ID VARCHAR(50), TYPE VARCHAR(50), HOST VARCHAR(50), DURATION INTEGER, ALERT VARCHAR(20))
INSERT INTO EVENTS VALUES('scsmbstgra','APPLICATION_LOG','12345',5,'true')
INSERT INTO EVENTS VALUES('scsmbstgrb',NULL,NULL,3,'false')
INSERT INTO EVENTS VALUES('scsmbstgrc',NULL,NULL,8,'true')
INSERT INTO EVENTS VALUES('scsmbstgrd','APPLICATION_LOG','12345',5,'true')
INSERT INTO EVENTS VALUES('scsmbstgre',NULL,NULL,3,'false')
INSERT INTO EVENTS VALUES('scsmbstgrf',NULL,NULL,8,'true')
INSERT INTO EVENTS VALUES('scsmbstgrg','APPLICATION_LOG','12345',5,'true')
INSERT INTO EVENTS VALUES('scsmbstgrh',NULL,NULL,3,'false')
INSERT INTO EVENTS VALUES('scsmbstgri',NULL,NULL,8,'true')
INSERT INTO EVENTS VALUES('scsmbstgrj','APPLICATION_LOG','12345',5,'true')
INSERT INTO EVENTS VALUES('scsmbstgrk',NULL,NULL,3,'false')
INSERT INTO EVENTS VALUES('scsmbstgrl',NULL,NULL,8,'true')
INSERT INTO EVENTS VALUES('scsmbstgrm','APPLICATION_LOG','12345',5,'true')
INSERT INTO EVENTS VALUES('scsmbstgrn',NULL,NULL,3,'false')
INSERT INTO EVENTS VALUES('scsmbstgro',NULL,NULL,8,'true')
INSERT INTO EVENTS VALUES('scsmbstgrp','APPLICATION_LOG','12345',5,'true')
INSERT INTO EVENTS VALUES('scsmbstgrq',NULL,NULL,3,'false')
INSERT INTO EVENTS VALUES('scsmbstgrr',NULL,NULL,8,'true')
INSERT INTO EVENTS VALUES('scsmbstgrs','APPLICATION_LOG','12345',5,'true')
INSERT INTO EVENTS VALUES('scsmbstgrt',NULL,NULL,3,'false')
INSERT INTO EVENTS VALUES('scsmbstgru',NULL,NULL,8,'true')
INSERT INTO EVENTS VALUES('scsmbstgrv','APPLICATION_LOG','12345',5,'true')
INSERT INTO EVENTS VALUES('scsmbstgrw',NULL,NULL,3,'false')
INSERT INTO EVENTS VALUES('scsmbstgrx',NULL,NULL,8,'true')
INSERT INTO EVENTS VALUES('scsmbstgry','APPLICATION_LOG','12345',5,'true')
INSERT INTO EVENTS VALUES('scsmbstgrz',NULL,NULL,3,'false')
INSERT INTO EVENTS VALUES('scsmbstgr1',NULL,NULL,8,'true')
INSERT INTO EVENTS VALUES('scsmbstgr2','APPLICATION_LOG','12345',5,'true')
INSERT INTO EVENTS VALUES('scsmbstgr3',NULL,NULL,3,'false')
INSERT INTO EVENTS VALUES('scsmbstgr4',NULL,NULL,8,'true')
INSERT INTO EVENTS VALUES('scsmbstgr5','APPLICATION_LOG','12345',5,'true')
INSERT INTO EVENTS VALUES('scsmbstgr6',NULL,NULL,3,'false')
INSERT INTO EVENTS VALUES('scsmbstgr7',NULL,NULL,8,'true')
INSERT INTO EVENTS VALUES('scsmbstgr8','APPLICATION_LOG','12345',5,'true')
INSERT INTO EVENTS VALUES('scsmbstgr9',NULL,NULL,3,'false')
INSERT INTO EVENTS VALUES('scsmbstgr10',NULL,NULL,8,'true')
COMMIT
CREATE TABLE IF NOT EXISTS EVENTS (ID VARCHAR(50), TYPE VARCHAR(50), HOST VARCHAR(50), DURATION INTEGER, ALERT VARCHAR(20))
DISCONNECT
